,Energy_type,EF_tCO2e_PJ_electricity,EF_KgCO2e_GJ_electricity,EF_KgCO2e_kWh_electricity,Year
0,Electricity,197222,197,0.71,2024
1,Electricity,204000,204,0.73,2023
2,Electricity,202000,202,0.73,2022
3,Electricity,222222,222,0.8,2021
4,Electricity,225000,225,0.81,2020
5,Electricity,225000,225,0.81,2019
6,Electricity,222222,222,0.8,2018
7,Electricity,219444,219,0.79,2017
8,Electricity,216667,217,0.78,2016
9,Electricity,219444,219,0.79,2015
10,Electricity,225000,225,0.81,2014
11,Electricity,225000,225,0.81,2013
12,Electricity,225000,225,0.81,2012
13,Electricity,225000,225,0.81,2011
14,Electricity,225000,225,0.81,2010
15,Electricity,225000,225,0.81,2009
16,Electricity,225000,225,0.81,2008
17,Electricity,225000,225,0.81,2007
18,Electricity,225000,225,0.81,2006
19,Electricity,225000,225,0.81,2005
20,Electricity,225000,225,0.81,2004
21,Electricity,225000,225,0.81,2003
22,Electricity,225000,225,0.81,2002
23,Electricity,225000,225,0.81,2001
24,Electricity,225000,225,0.81,2000
25,Electricity,225000,225,0.81,1999
26,Electricity,225000,225,0.81,1998
27,Electricity,225000,225,0.81,1997
28,Electricity,225000,225,0.81,1996
29,Electricity,225000,225,0.81,1995
30,Electricity,225000,225,0.81,1994
31,Electricity,225000,225,0.81,1993
32,Electricity,225000,225,0.81,1992
33,Electricity,225000,225,0.81,1991
34,Electricity,225000,225,0.81,1990
35,Electricity,225000,225,0.81,1989
36,Electricity,225000,225,0.81,1988
37,Electricity,225000,225,0.81,1987
38,Electricity,225000,225,0.81,1986
39,Electricity,225000,225,0.81,1985
40,Electricity,225000,225,0.81,1984
41,Electricity,225000,225,0.81,1983
42,Electricity,225000,225,0.81,1982
43,Electricity,225000,225,0.81,1981
44,Electricity,225000,225,0.81,1980
45,Electricity,225000,225,0.81,1979
